Iteration	Motor 3	Motor 4	Motor 8
0	-4.484859	-1.614658	3.420262
1	-2.446740	-1.635870	0.410381
2	-0.415131	-0.135117	1.995110
3	-2.069400	-2.910454	5.744977
4	-3.565890	-6.106744	3.486253
5	-2.693394	-1.612283	5.703386
6	-5.246326	-1.079759	2.397994
7	-4.212251	-4.178913	3.135304
8	-3.501943	-5.418302	0.032338
9	-6.822421	-3.756980	-1.196286
10	-7.617199	-5.356795	1.025267
11	-9.388614	-5.590549	-1.876231
12	-5.375678	-2.198486	-5.192240
13	-8.370363	-6.133113	-8.366935
14	-6.985551	-4.376574	-5.223898
15	-10.652346	-4.815440	-0.842376
16	-8.188134	-1.145624	-4.333991
17	-9.306781	-2.680927	-0.905038
18	-7.425128	-6.760679	-0.369991
19	-10.448324	-7.497981	2.816796
20	-7.660899	-11.920247	5.133177
21	-8.372023	-9.342129	4.210620
22	-7.038618	-9.109041	7.572097
23	-3.094139	-11.432376	6.481120
24	-6.310576	-9.403206	3.494564
25	-3.743365	-8.713518	6.171272
26	-2.265131	-5.156843	4.223191
27	-0.632259	-5.104776	0.655857
28	-3.348712	-2.347222	-2.657120
29	0.358693	1.010146	0.985526
30	3.650455	2.717509	-2.434044
31	1.927865	6.380873	-2.017378
32	-0.137944	5.740333	-4.318521
33	-2.139575	4.198434	0.132134
34	-6.268374	2.601001	0.760095
35	-1.782025	4.684705	2.597775
36	-4.666248	5.975713	5.203310
37	-7.223070	5.581360	7.489234
38	-6.424284	5.176398	3.842549
39	-10.087491	4.976807	4.346881
40	-8.141283	4.454744	0.042248
41	-11.457384	0.821739	-3.648030
42	-12.024975	2.651363	-7.027652
43	-10.485883	-1.281390	-4.178814
44	-8.588505	-4.118250	-8.168476
45	-4.651238	-5.687627	-4.708785
46	-2.941873	-3.495016	-1.916876
47	-1.270629	0.395808	-4.420844
48	-0.275139	-1.326333	-3.788976
49	-0.217371	-4.447452	-1.856608
50	-4.164732	-1.769018	-6.312818
51	-4.834976	1.852508	-8.825747
52	-7.514872	5.811994	-8.401036
53	-3.006891	5.594193	-11.617789
54	-2.300189	3.025123	-8.873802
55	-2.040076	1.333663	-10.072687
56	1.642824	0.131039	-10.800542
57	2.545407	-0.515386	-11.689184
58	4.449298	-2.535181	-10.607195
59	3.133195	-1.771522	-11.296290
60	-0.021257	-4.325327	-10.950297
61	-1.116128	-6.314027	-9.247319
62	-2.593135	-4.086467	-9.752799
63	-4.191259	-3.088879	-9.337018
64	-4.169436	-5.656536	-11.948644
65	-7.725978	-5.602598	-9.448860
66	-4.830074	-7.982740	-11.818855
67	-6.004547	-11.693212	-7.851898
68	-4.936097	-12.013651	-10.212508
69	-7.764608	-8.910400	-6.793663
70	-11.361331	-11.060132	-4.395278
71	-8.219837	-11.793004	-2.311981
72	-9.176932	-7.613045	-3.278332
73	-11.662230	-9.520307	-3.045753
74	-10.860377	-11.798217	-2.099781
75	-8.407656	-11.398081	-5.938971
76	-7.479441	-10.628235	-8.510077
77	-5.207281	-7.586312	-9.912832
78	-5.409220	-8.866802	-5.500310
79	-8.286766	-5.016213	-8.762367
80	-10.145248	-8.506498	-10.225861
81	-9.412786	-6.120569	-9.791901
82	-12.121031	-5.217704	-9.068107
83	-11.749433	-6.731442	-11.542990
84	-10.961617	-8.927830	-8.819108
85	-8.025699	-8.271217	-6.212293
86	-6.886869	-11.689799	-6.703743
87	-6.480816	-11.553197	-5.792150
88	-8.520345	-7.018927	-9.273087
89	-12.081792	-11.210528	-9.971208
90	-12.016235	-8.724709	-8.080388
91	-10.904602	-9.069107	-10.138468
92	-8.130640	-6.618141	-10.938748
93	-6.660199	-10.846473	-9.531912
