Iteration	Motor 3	Motor 4	Motor 8
0	1.757131	1.935971	-1.765974
1	-2.042230	-1.483809	-1.177495
2	-6.531216	-1.971121	-4.363449
3	-9.347605	-1.065843	-5.418709
4	-11.158255	-2.378488	-9.782709
5	-11.655136	-0.976053	-6.965928
6	-8.028689	-5.106109	-5.057853
7	-7.333685	-3.174824	-3.700303
8	-10.610398	-0.457946	-3.259484
9	-8.318306	-3.844114	-4.914814
10	-8.200354	-5.182850	-7.413317
11	-10.002284	-5.191754	-10.778689
12	-7.490670	-9.451117	-10.727301
13	-6.305161	-6.769320	-9.901527
14	-6.262332	-4.182345	-5.571218
15	-6.030805	-4.845984	-5.887579
16	-8.799288	-3.717992	-2.838471
17	-12.148619	-2.729415	-5.198290
18	-10.443312	-1.905886	-4.155144
19	-8.391928	-3.035090	-0.042275
20	-8.270438	-3.853428	-3.409960
21	-7.103237	-7.109496	-1.352469
22	-11.200888	-4.509308	0.270951
23	-9.365191	-5.118057	-2.940505
24	-11.759168	-6.071116	-6.769084
25	-12.026768	-3.161049	-7.782199
26	-9.488440	-5.724404	-5.752934
27	-6.674757	-9.264237	-4.123243
28	-8.661481	-5.316975	0.388257
29	-6.426777	-1.976806	0.752134
30	-4.782885	-5.411527	3.606759
31	-1.810297	-5.180225	-0.726621
32	-4.454903	-7.766679	2.914748
33	-3.167809	-6.753911	6.715637
34	-2.312410	-10.886954	6.482865
35	-2.476863	-8.384719	2.437689
36	-1.745674	-5.006090	-1.866476
37	-3.021369	-7.486863	-1.708640
38	-2.361043	-9.471192	-1.181462
39	-3.454014	-6.189546	-1.182659
40	-5.063105	-10.188625	1.785544
41	-1.973017	-9.293645	-1.381908
42	-5.525356	-5.684519	-5.159169
43	-5.787985	-7.455961	-7.946036
44	-5.594094	-9.196011	-8.961350
49	-4.069127	-8.244176	-7.842296
50	-1.250325	-11.152521	-6.080046
51	1.880719	-9.365225	-4.751558
52	5.371657	-11.641604	-2.490056
53	1.619526	-8.077329	1.153733
54	0.938915	-4.590875	3.563872
55	0.598971	-3.690131	3.556340
56	-1.994331	-7.901697	6.107436
57	-4.378482	-9.078667	6.220775
58	-1.771176	-5.957686	3.295375
59	-3.889186	-1.591353	1.701484
60	-5.893610	-4.940422	5.714432
61	-1.458972	-4.483612	6.409365
62	-1.356771	-7.624639	6.685906
63	-1.223649	-3.904059	7.099943
64	-2.651188	-2.623805	6.185921
65	-5.984939	-4.373314	3.184396
66	-7.257339	-6.799150	1.797339
67	-9.172630	-3.227625	1.758192
68	-10.662306	-0.198972	1.950107
69	-9.377051	-1.411567	5.608101
70	-11.987351	-2.907802	1.933615
71	-9.398711	-4.869442	-0.062928
72	-9.241288	-1.782056	-0.293672
73	-12.085661	-3.171305	2.243866
74	-9.500483	-0.315339	1.582073
75	-11.670735	-4.068979	2.279685
76	-7.827639	-5.553791	0.698421
77	-5.612178	-2.070430	-0.997226
78	-6.097351	0.532490	-3.119823
79	-8.474323	-0.321894	-2.866526
80	-8.494813	-3.950381	-6.043486
81	-6.858012	-1.879256	-3.269782
82	-3.789820	0.747152	0.877842
83	-6.179024	3.878839	4.303542
84	-9.161131	6.859676	7.151608
85	-6.154959	3.230467	4.645071
86	-9.578713	0.417780	4.184324
87	-11.018571	2.265321	1.562397
88	-8.601349	-0.034626	-2.157332
89	-10.428864	-0.186432	-3.614355
90	-9.189810	-3.069682	-1.413687
91	-10.973754	-0.249303	2.956780
92	-11.940432	-1.664974	1.058798
93	-11.299216	-5.924941	0.873202
94	-7.542001	-7.591207	-3.246777
95	-7.837147	-3.178700	-3.844361
96	-10.728069	-5.956853	-8.287728
97	-11.077300	-5.493903	-10.172577
98	-6.899759	-9.575251	-7.329064
99	-9.141649	-7.578424	-2.949598
100	-8.419782	-11.038084	-1.919581
101	-7.616636	-7.357887	-2.028736
107	-8.845917	-7.634618	1.811867
108	-4.871828	-4.658450	-0.320264
109	-2.567139	-2.138484	2.148877
110	-5.344164	-6.653283	2.012362
111	-7.632558	-8.401253	3.414619
112	-5.813479	-8.130412	4.104243
113	-4.716746	-5.286853	0.950160
114	-2.207842	-3.247936	3.419468
115	-2.575762	-2.362844	2.194903
116	-1.072174	-5.854075	-1.351200
117	-1.074017	-9.532038	-0.547120
118	-2.543994	-12.015053	-1.256706
119	-4.359303	-7.658224	-1.364641
120	-2.400213	-3.799430	-0.900976
121	-2.550940	-2.807144	-1.077315
122	1.446839	-3.580539	-1.459857
123	0.617530	-4.921733	-2.750113
124	1.403139	-6.997955	-5.957712
125	4.056409	-11.016721	-9.626369
126	5.681030	-9.318341	-10.093659
127	1.577718	-5.568201	-10.186892
128	0.477329	-8.187678	-8.363420
129	-2.135216	-6.797573	-4.226223
130	1.523880	-2.792590	-0.390594
131	5.533815	-3.818506	-1.379092
132	6.414370	-5.127781	-3.297515
133	5.942201	-3.783542	-3.383189
134	7.185739	-5.724236	-6.615485
135	3.557910	-9.991405	-3.785989
136	3.989996	-9.754022	0.198341
137	1.791685	-9.151825	2.006107
138	2.122239	-9.547618	5.533875
139	3.427494	-9.646642	6.740470
140	4.494127	-11.229836	6.325982
141	0.686052	-12.049203	6.670809
142	3.605037	-9.297034	6.509510
143	1.659088	-11.287991	4.083913
144	4.796782	-9.268926	-0.146881
145	1.026543	-9.214818	2.606127
146	1.120035	-7.116750	0.130268
147	1.765579	-6.740265	4.221842
148	3.372926	-6.844552	7.117358
149	-0.688541	-3.362536	5.914153
150	-3.117068	-7.913291	7.238179
151	0.393292	-6.926788	4.397645
152	-0.407379	-6.131137	6.159093
153	-0.431570	-8.954567	3.846599
154	-3.083312	-6.114743	0.617572
155	-3.894217	-5.873618	0.713245
156	-4.814193	-4.364520	-3.150010
157	-8.414329	-7.581129	-1.500616
158	-4.372352	-8.281769	-3.211562
159	-3.285811	-8.402195	-0.501722
160	-2.063130	-5.808110	-3.788870
161	1.860617	-5.635955	-3.322534
162	-0.966074	-9.605119	1.212546
163	-2.707169	-8.192116	0.494243
164	1.522576	-6.849268	2.509220
165	4.005208	-10.893205	2.737357
166	3.887731	-9.818812	2.085030
167	2.047345	-11.505499	1.696525
168	4.672020	-8.272152	-1.366655
169	3.802288	-9.370222	-0.089228
170	1.124139	-11.554823	-0.392931
171	-3.139777	-10.709323	1.791024
172	-6.207137	-6.540818	5.663737
173	-6.921468	-2.001240	7.073768
174	-3.596312	-5.163337	5.523251
175	-2.102472	-5.672207	1.261893
176	-2.666958	-4.303698	1.818087
177	-4.284344	-2.921387	1.938053
178	-6.916030	-0.819907	4.233413
179	-4.152693	-0.518746	2.288751
180	-1.093579	3.567337	6.777646
181	3.135528	-0.023503	3.092467
182	0.593583	-4.544663	-1.090680
183	-1.729555	-7.878187	-4.905127
184	-4.172609	-10.291730	-8.038680
185	-6.452244	-7.635310	-4.887408
186	-5.100573	-9.172448	-1.306972
187	-0.850759	-5.897334	1.559585
188	-2.300212	-10.242824	2.574177
189	-3.462849	-9.173622	2.433151
190	-2.764211	-11.671639	0.239765
191	-6.451290	-9.463402	-0.584391
192	-5.232140	-8.263013	0.011708
193	-7.894021	-7.790266	-0.615452
194	-11.049302	-11.147840	-1.677179
195	-8.426147	-11.593720	0.068221
196	-6.279204	-7.626277	-3.527817
197	-3.650820	-5.658880	-2.281645
198	-3.990547	-2.620773	-5.598487
199	-0.198615	-2.016565	-9.284863
