Iteration	Motor 3	Motor 4	Motor 8
0	-3.462343	1.529177	-1.087894
1	-5.205738	3.920859	1.926782
2	-0.777693	1.500160	2.067717
3	3.755981	1.259187	1.916724
4	6.144813	-1.668728	6.408160
5	5.982697	-1.074708	6.892140
6	1.531757	-5.264030	2.765568
7	-1.193614	-7.393611	1.834480
8	-1.295773	-11.046570	4.143094
9	-0.434940	-8.600502	1.798529
10	-0.921314	-5.954558	5.583819
11	0.173630	-3.352637	1.314526
12	0.873742	-2.752557	-2.421018
13	2.246252	-3.878930	-1.122474
14	6.799914	-0.770059	-1.446307
15	3.761954	1.579424	-4.673362
16	4.330142	3.698228	-3.900138
17	4.599630	3.850852	-6.713623
18	2.969723	0.236599	-10.345679
19	-0.619700	0.519566	-6.353140
20	3.660529	-1.173679	-9.310870
21	5.580528	-1.702294	-6.945648
22	3.765093	0.010887	-10.991994
23	4.848652	4.416071	-9.852465
24	1.660881	2.762250	-7.462641
25	5.107371	-0.195529	-9.093514
26	5.598407	2.330339	-4.884596
27	7.012159	4.833596	-4.806259
28	3.030952	2.759955	-8.222037
29	3.647118	6.851905	-6.874827
30	2.336901	5.528658	-3.141726
31	-2.203878	4.849252	-6.896932
32	0.568058	4.709800	-3.463005
33	-1.920273	1.715518	-6.091028
34	-3.893856	3.715366	-9.258339
35	-4.349039	4.786450	-9.878921
36	-1.706154	0.465291	-6.926180
37	-1.746009	-4.074656	-4.199384
38	-3.966577	-7.488048	-1.356254
39	-0.509458	-9.963551	1.001988
40	-3.987230	-5.907032	-2.227427
41	-3.565278	-5.482211	-2.219135
42	-0.121144	-2.939095	-0.996713
43	1.459827	0.561169	1.035534
44	1.145784	-2.679224	1.453086
45	3.104216	-2.321925	5.439708
46	3.698065	-3.957582	3.436348
47	2.379834	-6.476294	6.582368
48	-0.352997	-6.601843	2.371257
49	2.533331	-5.931036	3.585718
50	-1.535443	-2.084353	3.522934
51	-5.342944	-4.889540	6.798474
52	-4.691586	-4.751136	4.706422
53	-5.976222	-2.884401	2.982650
54	-3.120822	-4.269581	1.118910
55	-4.417644	-4.447866	2.835940
56	-2.547269	-5.161570	7.198336
57	-5.410299	-3.893347	5.700733
58	-8.363188	-1.462377	1.166304
59	-6.570793	-1.471151	-2.521498
60	-3.959140	-3.579965	-5.918800
61	-4.726250	-5.327262	-9.903921
62	-8.951991	-3.124170	-8.826036
63	-6.655601	-3.993063	-8.691622
64	-6.201543	-5.470628	-6.632425
65	-3.490840	-5.232562	-10.410822
66	-7.792611	-3.005162	-7.878658
67	-3.307482	-2.319478	-9.049240
68	-7.062425	-2.440987	-7.254223
69	-6.072389	-3.605626	-8.527971
70	-4.748351	-4.572426	-7.017817
71	-2.364577	-4.489936	-7.843800
72	-3.640734	-1.873541	-9.128140
73	-6.893724	1.728141	-5.687669
74	-3.002129	-2.459003	-2.299251
75	0.139494	-2.803423	1.692554
76	-1.878659	-3.412058	-0.341077
77	1.276048	-6.459890	-2.530409
78	3.033555	-5.207790	-7.029392
79	3.394939	-7.879843	-5.270494
80	0.421473	-10.963980	-5.927947
81	4.530596	-12.127548	-6.501777
82	3.732877	-11.416013	-9.837843
83	4.162854	-11.264169	-9.097694
84	1.840910	-8.093715	-10.743337
85	2.819125	-8.493308	-7.013417
86	6.690744	-9.765012	-5.456276
87	7.299960	-8.370587	-7.096720
88	7.551459	-10.544799	-8.992373
89	7.431789	-11.901547	-10.766802
90	4.594341	-10.308883	-9.284859
91	6.660952	-7.801533	-6.449835
92	3.611870	-4.236373	-6.582691
93	-0.014645	-8.470257	-2.289914
94	-0.509778	-8.046359	-4.884417
95	-4.991722	-11.308773	-4.588044
96	-6.865194	-10.359226	-1.196730
97	-8.588802	-9.577406	1.138339
98	-8.081118	-8.282560	1.624261
99	-7.552215	-9.281641	-2.552061
100	-4.354257	-8.197782	-1.928044
101	-8.329729	-9.618693	-4.934520
102	-5.295790	-8.579173	-3.829803
103	-8.858917	-10.680181	-6.946544
104	-5.396015	-9.366312	-4.030972
105	-8.405323	-6.646914	-3.955310
106	-7.820430	-2.471022	-4.094048
107	-3.476274	-6.021871	-3.297427
108	-2.056283	-2.202765	-5.940787
109	1.116098	1.094468	-1.573242
110	0.332591	-0.072990	2.265689
111	0.878811	1.764500	6.184736
112	-0.474654	1.111375	3.687064
113	2.429135	1.922481	1.175682
114	-0.487901	5.521104	1.688929
115	-4.817420	4.166115	2.761684
116	-4.793643	4.947934	-1.469509
117	-3.109817	5.670656	-4.266526
118	1.229159	4.136775	-4.168136
119	1.059896	1.253647	-0.957421
120	-1.778039	2.255418	-3.192942
121	2.635080	5.658755	-4.068117
122	-1.398772	3.931590	-5.001252
123	2.902581	3.999975	-6.692522
124	-1.107860	5.942976	-2.886381
125	2.367328	4.209887	-7.421180
126	6.473672	4.353709	-3.989973
127	5.633207	5.477818	-1.649637
128	3.528904	2.874886	1.758773
129	-0.441005	3.401019	0.907706
130	1.352500	4.595557	-0.757332
131	4.177826	3.673878	-0.539433
132	6.926222	4.316621	-1.170924
133	3.862434	0.379916	-3.590578
134	4.934885	0.355270	-2.274600
135	4.554859	-2.216342	2.251359
136	2.097893	-0.221308	-1.608525
137	1.845261	-0.959333	1.438042
138	3.529858	3.374430	4.631356
139	6.606064	5.002601	0.828446
140	3.608442	6.711207	4.171017
141	1.275284	4.314672	0.548127
142	1.806292	4.174653	-1.639179
143	0.105659	-0.084691	-5.821608
144	1.555526	-4.598448	-3.516816
145	2.466899	-0.405920	0.102038
146	2.833550	-2.589358	-1.549477
147	4.340029	0.391544	-3.512503
148	6.253953	0.826040	-5.602435
149	5.882727	0.751264	-7.035058
150	6.576428	-0.981266	-10.655158
151	4.631873	-3.796006	-7.160203
152	3.679741	-5.924196	-10.569081
153	0.369660	-3.651530	-10.843866
154	-0.764530	-2.397777	-6.625756
155	0.235801	-4.069735	-6.573628
156	-1.752511	-8.289267	-5.809630
157	-5.208964	-10.488011	-6.053609
158	-6.816459	-10.679414	-5.980163
159	-6.327148	-8.275777	-10.055587
160	-3.986808	-7.805443	-8.926306
161	-7.799321	-6.834026	-5.931591
162	-4.627796	-7.967943	-8.120725
163	-7.493505	-10.388953	-6.783783
164	-10.164506	-7.798763	-5.017645
165	-8.892657	-9.284977	-6.011478
166	-6.510848	-8.169331	-3.274859
167	-8.943532	-5.557568	0.215965
168	-9.251423	-1.933721	1.746837
169	-9.510978	-0.315343	3.214792
170	-11.518898	-4.377809	4.545503
171	-10.192048	-5.543725	4.335846
172	-8.255086	-4.413468	3.604718
173	-9.363546	-7.037478	3.554015
174	-5.445609	-10.171958	6.509457
175	-2.009246	-11.120358	2.334925
