Iteration	Motor 3	Motor 4	Motor 8
176	1.149796	-12.088199	-1.174299
177	-0.201533	-11.545213	-5.465023
178	-2.227340	-9.097572	-2.625773
179	-5.810614	-10.378465	-7.087057
180	-8.097393	-5.921270	-7.818112
181	-7.758365	-8.556555	-5.166119
182	-3.804495	-5.340623	-1.638530
183	-6.800028	-5.042729	1.796351
184	-8.463516	-8.230029	3.064632
185	-10.585983	-11.015121	7.106513
186	-6.175608	-8.537707	7.519607
187	-8.069661	-9.210626	3.434432
188	-7.601334	-5.155342	4.911990
189	-4.617293	-8.982763	6.264102
190	-6.719992	-11.528341	1.757922
191	-2.981590	-11.000358	4.719003
192	0.195274	-10.416735	0.674504
193	-0.377025	-8.337671	2.041824
194	3.717114	-11.163762	-1.466724
195	1.416123	-9.434936	-1.700280
196	1.662504	-9.559580	-3.214321
197	-0.585538	-9.206173	-4.057135
198	3.707630	-11.879359	-3.076366
199	-0.655565	-10.191034	-4.029155
