image_index,image_filename,confidence,joint_angle_x,joint_angle_y,joint_angle_z,l1,l2,l3
0,rgb_0.png,-0.0833909721054835,0.0844586178384121,0.25090329824542,0.2334099804782447,14.472831254627552,16.74451452093612,10.52505130382781
1,rgb_1.png,-0.0103942309547242,-0.0357183880555305,0.2154123287898696,0.2521022598292766,15.5763656250425,14.612410062186054,10.79536024805305
2,rgb_2.png,-0.0018252025750664,-0.1274517632706679,0.3910829010216043,0.1966159213650449,19.09407973947964,15.670472551632056,9.990309110221833
3,rgb_3.png,-0.0466714846304837,-0.2189864949645817,0.3838114605631206,0.2110128055811485,20.2741442494389,14.444560233481939,10.199957227669545
4,rgb_4.png,-0.0602091457528251,-0.31526679886766,0.4849290234376996,0.2609272181642305,22.778746381167057,14.509387644754879,10.922651679613374
5,rgb_5.png,-0.1703872485461989,-0.2618624950305298,0.4363475664098535,0.1978719942053526,21.490097576579053,14.560098157326475,10.008620871565249
6,rgb_6.png,0.121731219954114,-0.1663883788720989,0.4234941508792654,0.3467386995642877,20.01678492431797,15.561782007829594,12.148937410828221
7,rgb_7.png,0.2141372390990729,-0.0818692612873246,0.3541841291061774,0.3121519677379735,18.01693224424001,15.811850000097442,11.657240985009418
8,rgb_8.png,0.0286649568800088,0.0728746216638872,0.3050117960958725,0.3140356991424287,15.339316686292605,17.299683273969762,11.684111831902033
9,rgb_9.png,-0.0790434903645883,0.0874485205962239,0.2662427256412426,0.1767095291824157,14.640999078856169,16.992220131994674,9.69958085186926
10,rgb_10.png,-0.0399810952733956,0.1313219571955843,0.2440058597384986,0.1966705173520013,13.794010006466253,17.311966327394366,9.991105124278707
11,rgb_11.png,-0.0675897238939886,0.0169726005754283,0.252790337131432,0.161561489111377,15.374457740992389,15.832380868450878,9.477701897170517
12,rgb_12.png,-0.0139139905553516,-0.0624050354776346,0.3750813557757108,0.223884212075989,18.012210757737428,16.330706582610546,10.386944105761629
13,rgb_13.png,0.0449761292003881,-0.0755885826600186,0.3478394501068376,0.4705211887125297,17.852061929407448,15.815565251963388,13.877876514710639
14,rgb_14.png,0.0945393729457609,-0.1269369687979597,0.3146470683881176,0.5400009606813685,18.137331514086366,14.72655214879015,14.82546938446099
