image_index,image_filename,confidence,joint_angle_x,joint_angle_y,joint_angle_z,l1,l2,l3
0,rgb_0.png,-0.1293675497483141,-0.089781047436836,0.374415955548545,0.1947466698386168,18.375390240763558,15.958415626227113,9.963050779872795
1,rgb_1.png,-0.0075521904585164,0.0132282188891803,0.2397108320466864,0.2044730851083057,15.248201773842542,15.605160605315376,10.104790364434807
2,rgb_2.png,0.0316838136972446,-0.0912033633121704,0.0918657032654173,0.1246284494689249,14.606677708227638,12.152087219670014,8.934476921567025
3,rgb_3.png,0.0198311890753083,-0.209003306152731,-0.0016992180911059,0.0678388588830857,14.894184222688512,9.363338103154348,8.093315745431855
4,rgb_4.png,-0.0094333864313121,-0.2483577756981275,-0.0950017052662705,-0.1509919513128579,14.03567947152673,7.543226917368459,4.797108260025703
5,rgb_5.png,0.0171230296837033,-0.2147857062086786,-0.0709067337925442,-0.0078338979171336,13.927341315045103,8.260338405789838,6.962437526430882
6,rgb_6.png,-0.0419204914107295,-0.2091877330863935,-0.0828264221197072,0.0705568583626901,13.66421799794256,8.1395397590336,8.133728534335459
7,rgb_7.png,0.0117304429579322,-0.1607756995482231,-0.0377703024043371,0.110463469475812,13.664592394623028,9.376243790116188,8.725314671269535
8,rgb_8.png,-0.0795047520937048,-0.2703265544536323,-0.0319539737116197,0.134864791428184,15.31457288614837,8.272711242404176,9.0853499659362
9,rgb_9.png,-0.0252476213492621,-0.1989194477321654,-0.0720522483897545,0.0801472537878704,13.68352124043446,8.417172496198317,8.276203573350458
10,rgb_10.png,-0.0507990961071852,-0.2131624468566665,-0.0998198433868104,-0.0156203471491187,13.458464634265273,7.836163277494877,6.845481268632272
11,rgb_11.png,-0.0199997132506111,-0.1720497245143773,-0.1158057054878453,-0.2169851496330168,12.625181768326737,8.049171516752741,3.789986826926574
12,rgb_12.png,-0.0290546006199638,-0.0647454793634699,-0.1697855643482322,-0.2240252141528796,10.27680337160736,8.531905325901947,3.682285913940095
13,rgb_13.png,-0.0483887811526731,-0.1275473979283372,-0.0621411552892251,-0.1788550330416539,12.823260660711089,9.40606222639367,4.372463285216834
14,rgb_14.png,-0.0068457083419993,-0.1658379440015155,-0.0151801857927715,0.0292769633039442,14.07791262220157,9.656676255625948,7.518380301011864
15,rgb_15.png,-0.0547933726554172,-0.1377568974713554,-0.0091043053165138,0.0372767101868519,13.771847960923385,10.084324093490366,7.637888706247253
16,rgb_16.png,-0.0315096715953949,-0.2007958124196194,-0.0366050487022813,0.1527998577616778,14.251225304408903,8.933239674703502,9.349118047311
17,rgb_17.png,-0.0182683078615437,-0.2451768783659349,-0.1272897170892355,0.0763648258612886,13.488543089284418,7.081114012313617,8.22003431823398
18,rgb_18.png,-0.0225332813828843,-0.2454049411200213,-0.1098648420009944,0.1107871500978327,13.76311920145562,7.346059361285336,8.730099114639629
19,rgb_19.png,0.0175012528943719,-0.2152914835279806,-0.0820592490698793,0.2248505544809348,13.763107776041155,8.085007189430351,10.400965193888709
20,rgb_20.png,-0.0091206688595959,-0.1985854521667979,-0.0899478091868256,0.1606278464099812,13.403264527725502,8.147256698772352,9.464008569078432
21,rgb_21.png,-0.0907953355239251,-0.1704501933026529,-0.1011312812224408,0.187287296539767,12.83014367458265,8.294600168415165,9.85418816719025
22,rgb_22.png,-0.0959769722519943,-0.2267258673287229,-0.1469654938603915,0.2373100714959077,12.917211583541842,6.964825332472364,10.58152718161006
23,rgb_23.png,0.0013273329280397,-0.1934161424495726,-0.152423136872369,0.1776839518207761,12.356943177296293,7.2374970004733985,9.713834670093915
24,rgb_24.png,0.0402617093800848,-0.1753468138139325,-0.1699144149005393,0.0153455051730204,11.825386636315415,7.167213886471198,7.30997194206884
25,rgb_25.png,0.0076676436585752,-0.1983408525184039,-0.1434452687956915,-0.0486185762296303,12.567754625125083,7.32305532885877,6.348701649213008
26,rgb_26.png,0.0265136865795418,-0.1909067168986536,-0.1510237373021319,0.0378441590370765,12.343200929085505,7.287249355175494,7.646361219384984
27,rgb_27.png,-0.0274794584026438,-0.0277392268275811,-0.1313442549979675,0.1083991619719014,10.368619085328378,9.619892853628658,8.694796005237432
28,rgb_28.png,-0.0011590847928237,-0.1776268644418626,-0.0718278491527734,0.2422370287028297,13.383918997264749,8.661740277772578,10.65281520588681
29,rgb_29.png,-0.0657475338782312,-0.2106437871585447,-0.0033451833551389,0.2807937539613548,14.892921822114277,9.320728919257988,11.208425118446929
30,rgb_30.png,0.0579372546947247,-0.0484905638949195,0.0167603078493951,0.4424747176995844,12.912321958476522,11.604409148852149,13.49055800534287
31,rgb_31.png,-0.0392389736406972,0.0110932715905046,0.1189335932881414,0.2260108477025036,13.5959551726653,13.895440816230138,10.417797191673648
