Iteration	Motor 3	Motor 4	Motor 8
0	0.938231	0.460689	-2.571559
1	-2.740066	0.952139	-2.487617
2	-2.522292	0.072800	-1.077942
3	-2.473458	-1.284434	0.894733
4	-1.974244	-0.582111	1.480100
5	-1.781014	0.925558	1.397454
6	-2.377645	2.151252	4.664519
7	-5.962143	3.467827	3.777291
8	-2.861225	2.138131	6.104776
9	-2.075556	-0.445124	4.787050
10	-2.209191	-2.545742	7.289122
11	-5.737403	-1.927892	7.222307
12	-3.665921	-4.584400	3.848408
13	-4.235814	-8.169191	3.711965
14	-0.945603	-8.004305	1.808751
15	-4.241731	-7.739373	3.953638
16	-6.125459	-10.564300	2.404530
17	-3.062652	-9.243728	4.697913
18	-2.074705	-9.911517	2.726705
19	0.121570	-6.127846	5.017873
20	3.596822	-5.733140	1.885047
21	2.966565	-9.238537	0.105420
22	-0.000498	-8.782343	-2.252427
23	0.681386	-9.354597	-0.955955
24	-1.013411	-6.367113	-3.705137
25	0.587697	-5.818180	-3.549295
26	1.000654	-5.551355	-0.824760
27	-0.856528	-2.936294	0.609543
28	1.611933	-1.558509	2.141467
29	-0.344975	0.959637	-1.327427
30	-3.590460	-0.912946	0.262272
31	-3.783854	-2.393875	-0.983835
32	-3.579247	-4.255620	2.273380
33	-4.345042	-6.189843	0.449886
34	-3.480713	-2.810955	2.647430
35	-2.920589	-1.288059	5.519249
36	-5.955493	-4.957659	5.540822
37	-8.499688	-5.436238	3.143254
38	-8.412052	-7.833480	2.618166
39	-9.171433	-5.943804	3.302405
40	-9.184277	-7.801419	3.710271
41	-5.612171	-8.202167	2.980488
42	-6.612912	-5.426852	4.704370
43	-5.215986	-3.249217	5.144949
44	-6.586213	-2.475483	7.364290
45	-8.538524	-3.421672	5.514370
46	-4.873964	-0.769063	3.215537
47	-8.212704	2.956921	1.157119
48	-7.200453	-0.498735	4.247488
49	-4.411097	-0.749117	5.713722
50	-3.152727	-3.037606	4.878581
51	-5.638079	-4.400480	1.366016
52	-4.716366	-3.783968	-1.155869
53	-2.384223	-3.848689	1.083521
54	-2.731926	-5.344544	-1.201161
55	-6.386314	-3.231520	-0.406760
56	-8.166348	-1.569339	-1.185725
57	-8.661929	-1.672578	1.698832
58	-5.844810	0.683749	-0.960705
59	-3.800391	0.833097	-1.249026
60	-6.036049	3.672537	-3.783405
61	-2.846660	5.635852	-2.562500
62	-0.721240	3.603988	-5.389901
63	-2.197008	6.953149	-3.032807
64	0.983189	3.607686	-4.858019
65	3.587610	5.980740	-6.642301
66	0.218378	3.348077	-8.668469
67	1.926277	6.472012	-12.204122
68	-1.719443	7.022427	-8.837326
