Iteration	Motor 3	Motor 4	Motor 8
0	0.222372	-1.943844	-0.582377
1	-3.195542	0.442639	-0.085576
2	0.657852	3.637086	-2.126799
3	0.757040	3.324753	-1.046379
4	-1.553360	6.881925	0.001813
5	-1.888999	5.511486	-2.199904
6	-1.270834	4.813939	1.864926
7	-0.827112	3.010599	0.677833
8	2.447960	0.030799	1.117732
9	1.724166	-2.798905	-2.354906
10	1.083277	-3.562504	-1.324171
11	-1.672304	-0.243192	-3.017246
12	1.229243	2.870486	-0.240346
13	-1.273635	2.342404	3.582344
14	-3.319604	2.795546	4.945936
15	-1.328788	1.015801	6.477412
16	3.033635	-1.975529	4.191552
17	0.784050	-5.640971	5.213900
18	2.651883	-8.783457	0.974179
19	0.208597	-4.908692	2.219964
20	3.987515	-8.241277	-0.669651
21	-0.046535	-10.641566	-5.063025
22	2.943761	-8.881846	-9.129154
23	5.219570	-8.006775	-4.919393
24	3.487887	-10.505902	-3.669322
25	3.732824	-9.360027	-2.911005
26	5.100295	-7.888998	0.373589
27	1.633844	-5.049493	3.547885
28	-0.153262	-7.704280	0.356881
29	-3.247526	-10.169104	-0.583938
30	-2.914919	-8.720711	-3.760754
31	-0.922511	-11.301132	-2.791697
32	-0.831600	-9.111078	-6.625866
33	-0.891837	-6.611715	-7.784676
34	0.781789	-3.001552	-11.591068
35	3.431636	-7.265995	-10.099959
36	3.174524	-9.227692	-10.880548
37	5.729511	-9.719287	-7.411056
38	5.455763	-6.637844	-3.555831
39	6.211157	-3.207648	-0.359545
40	3.590183	-1.523587	2.510029
41	0.775645	-5.153146	4.978350
42	2.453744	-2.211737	4.354538
43	2.911571	1.799057	2.357345
44	3.029276	-1.490926	5.749928
45	5.668468	-5.999041	6.050725
46	5.874264	-3.306844	2.049458
47	3.724654	-3.338593	1.591854
48	5.902202	-4.230563	1.732732
49	5.945913	-2.405769	-0.815043
50	1.964524	1.213237	-5.256969
51	4.869518	-2.091691	-3.054398
52	7.016578	-4.881906	0.839770
53	2.580732	-7.943702	-3.166361
54	2.136873	-4.638858	-1.007866
55	1.620939	-2.366469	-1.163039
56	-1.608586	0.108938	2.937837
57	-6.008621	4.317951	-0.011233
58	-6.016000	2.166908	-1.896519
59	-3.642661	5.775320	-3.507898
60	-1.553444	6.220809	-2.351733
61	1.075533	3.994921	-6.522168
62	-2.725953	0.020630	-5.583804
63	1.148691	-3.292316	-4.809789
64	5.418971	-3.592919	-3.476061
65	6.568520	-1.325676	-5.143596
66	3.840231	-3.163720	-4.145310
67	0.042408	-6.129924	-7.831268
68	-0.481848	-9.104671	-9.848190
69	-4.334128	-6.801099	-7.703193
70	-7.552021	-8.177722	-10.661162
71	-3.241430	-11.058422	-11.564270
72	-0.721115	-11.120803	-9.473864
73	-0.124553	-7.281317	-7.543285
74	-3.107678	-5.498364	-8.641671
75	-0.346115	-8.174970	-6.510639
76	-0.061127	-7.827901	-9.924293
77	-1.086257	-7.471929	-8.293017
78	0.843851	-5.547799	-7.675783
79	4.842123	-6.785071	-8.311744
80	5.792834	-5.760834	-4.745117
81	2.811924	-2.242228	-2.554360
82	-0.807713	-3.214447	-4.393218
83	-0.190513	-2.465847	-4.707273
84	-2.657800	-4.732862	-5.465365
85	-2.505804	-8.567503	-6.877840
86	-0.838770	-9.398779	-6.731476
87	0.098971	-11.227119	-6.123396
88	1.420645	-9.120296	-6.330891
89	1.476460	-6.724651	-8.064322
90	-0.764894	-5.710465	-6.554130
91	1.401911	-4.742883	-10.124902
92	2.034797	-2.641483	-5.737776
93	4.352801	-3.124345	-1.326778
94	0.706823	-0.018529	-4.594166
95	3.441937	-2.609069	-8.392285
96	1.699341	-2.282930	-7.287359
97	-0.479910	1.568465	-5.750688
98	-3.079509	0.445235	-5.246660
99	-3.918560	3.567379	-5.818400
100	-2.489699	3.652469	-5.065484
101	-3.149850	7.166853	-3.844464
102	-7.023004	4.177519	-0.833291
103	-5.470997	0.420649	0.635425
104	-8.065831	1.649489	2.315405
105	-10.141584	-2.773764	4.277447
106	-10.576939	-0.570866	-0.005632
107	-11.465406	-3.528650	0.562301
108	-8.779558	-4.298446	4.196481
109	-5.190986	-5.393724	2.699588
110	-7.013846	-5.504505	2.489604
111	-3.915566	-3.655277	3.462028
112	0.402329	-6.515541	1.413155
113	-0.489835	-3.310051	5.540115
114	1.339682	-6.745281	2.226823
115	2.252967	-6.424033	6.732209
116	1.862760	-5.036904	4.356871
117	2.719010	-4.996924	5.007097
118	4.428668	-8.448696	1.524579
119	-0.062681	-5.176941	-0.114726
120	0.478823	-2.166338	-4.491068
121	-1.913973	-5.951917	-4.715409
122	-5.609347	-2.418293	-8.042567
123	-8.236257	0.648067	-5.109974
124	-9.316338	2.072243	-2.237064
125	-6.783893	2.094898	-0.909025
126	-11.114001	-2.165297	-1.432391
127	-8.391038	-0.109706	2.750003
129	-9.666372	1.455096	6.517061
130	-9.960294	5.436253	2.767278
131	-11.989958	4.561759	0.212165
132	-8.350857	2.992382	2.867081
133	-8.775515	3.453003	4.326695
134	-7.707901	2.227556	5.691108
135	-4.760587	-1.186204	1.329320
136	-5.997639	0.884488	0.046554
137	-3.728944	1.779931	4.424488
138	-5.618091	4.262749	-0.121824
139	-6.668932	5.546005	-4.020959
140	-8.114421	3.272587	-1.887376
141	-5.159218	1.989026	2.504652
142	-1.233754	6.409756	6.707604
143	-2.025210	6.171128	7.245582
144	-5.332164	7.286774	6.592810
145	-9.155412	4.164287	4.452198
146	-6.379216	-0.373069	0.828947
147	-5.371745	2.552943	3.442070
148	-4.435223	5.561486	6.071313
149	-3.787867	5.514283	7.017612
150	-5.501902	2.011910	7.374383
151	-8.536639	-0.850995	3.824662
152	-11.087169	-1.871815	4.363848
153	-7.808559	1.460131	1.045711
154	-9.591230	2.743676	5.090332
155	-12.010478	0.045281	2.370486
156	-10.977113	1.146992	4.076857
157	-9.640463	-2.589434	6.098434
158	-6.398079	-5.637874	1.741544
159	-8.839499	-3.121483	5.182706
160	-4.985106	-2.985272	7.272315
161	-1.339253	-2.728161	4.878022
162	-4.506998	-2.814850	2.573588
163	-5.231916	-6.938728	-1.399171
164	-3.093443	-6.727273	-1.024320
165	-1.726351	-7.814875	-2.054219
166	-0.455483	-9.251944	1.831710
167	-4.767936	-10.915625	5.436147
168	-2.799460	-10.097352	2.707420
169	-2.545183	-10.927926	5.316352
170	-0.555127	-9.068780	1.145316
171	1.559892	-6.201471	-0.308841
172	5.878235	-4.786457	4.093778
173	7.120934	-8.927800	7.546371
174	3.134913	-9.576988	4.713357
175	2.475062	-10.179227	7.406337
176	2.396930	-5.692381	7.456637
177	-0.851044	-8.808107	4.746971
178	-0.159410	-12.049325	6.367816
179	1.159988	-8.136233	4.937906
180	2.642022	-11.224687	2.061223
181	1.853815	-9.580856	2.009018
182	5.890011	-6.272493	2.855358
183	2.325900	-4.662999	4.497042
184	-0.533645	-1.241760	5.449873
185	-0.960287	1.034159	6.247265
186	0.908930	0.234787	7.028845
187	4.736521	2.804373	5.786853
188	3.131550	7.050106	1.821446
189	2.851421	5.535475	-1.033178
190	6.207634	5.729587	-0.557836
191	2.958653	1.240400	-1.784427
192	6.516149	-2.715328	-0.469919
193	5.887591	0.065474	3.999755
194	2.557187	2.328302	3.923105
195	2.509965	-2.226112	4.846710
196	-0.954123	-6.434228	6.926750
197	-2.745112	-9.034413	6.544839
198	-6.179609	-5.520477	3.736396
199	-4.674954	-2.533122	2.233720
